schedule_season,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium
2000,ATL,36,28,SF,ATL,-6.5,46.5,Georgia Dome
2000,BUF,16,13,TEN,BUF,-1,40,New Era Field
2000,CLE,7,27,JAX,JAX,-10.5,38.5,FirstEnergy Stadium
2000,DAL,14,41,PHI,DAL,-6,39.5,Texas Stadium
2000,GB,16,20,NYJ,GB,-2.5,44,Lambeau Field
2000,KC,14,27,IND,IND,-3.5,44,Arrowhead Stadium
2000,MIA,23,0,SEA,MIA,-2,36,Hard Rock Stadium
2000,MIN,30,27,CHI,MIN,-4.5,46.5,Mall of America Field
2000,NE,16,21,TB,TB,-3,36,Foxboro Stadium
2000,NO,10,14,DET,PICK,0,40.5,Mercedes-Benz Superdome
2000,NYG,21,16,ARI,NYG,-6.5,40,Giants Stadium
2000,LVR,9,6,LAC,LVR,-6.5,39.5,Oakland Coliseum
2000,PIT,0,16,BAL,BAL,-2.5,37,Three Rivers Stadium
2000,WAS,20,17,CAR,WAS,-10.5,47.5,FedEx Field
2000,LAR,41,36,DEN,LAR,-6.5,48.5,Edward Jones Dome
2000,ARI,32,31,DAL,ARI,-3,38.5,University of Phoenix Stadium
2000,BAL,39,36,JAX,BAL,-3,36.5,M&T Bank Stadium
2000,BUF,27,18,GB,BUF,-6,38.5,New Era Field
2000,CIN,7,24,CLE,CIN,-6,40.5,Paul Brown Stadium
2000,DEN,42,14,ATL,DEN,-4.5,47,Sports Authority Field at Mile High
2000,DET,15,10,WAS,WAS,-5.5,43,Pontiac Silverdome
2000,IND,31,38,LVR,IND,-6.5,44,RCA Dome
2000,MIN,13,7,MIA,MIN,-3,42.5,Mall of America Field
2000,PHI,18,33,NYG,PHI,-3,39.5,Veterans Stadium
2000,LAC,27,28,NO,LAC,-5.5,35.5,Qualcomm Stadium
2000,SF,22,38,CAR,CAR,-3,48,Candlestick Park
2000,SEA,34,37,LAR,LAR,-7.5,46,Husky Stadium
2000,TB,41,0,CHI,TB,-7,36.5,Raymond James Stadium
2000,TEN,17,14,KC,TEN,-8.5,38.5,Nissan Stadium
2000,NYJ,20,19,NE,NYJ,-6.5,39.5,Giants Stadium
2000,CAR,10,15,ATL,CAR,-6,48.5,Bank of America Stadium
2000,CHI,7,14,NYG,CHI,-2,42,Soldier Field
2000,CLE,23,20,PIT,PIT,-2.5,35.5,FirstEnergy Stadium
2000,DET,10,31,TB,TB,-3,34.5,Pontiac Silverdome
2000,GB,6,3,PHI,GB,-4,42.5,Lambeau Field
2000,JAX,13,0,CIN,JAX,-13,41,TIAA Bank Field
2000,KC,42,10,LAC,KC,-4.5,35.5,Arrowhead Stadium
2000,MIA,19,6,BAL,BAL,-1.5,34.5,Hard Rock Stadium
2000,NE,13,21,MIN,NE,-1.5,42.5,Foxboro Stadium
2000,NYJ,27,14,BUF,NYJ,-1,38.5,Giants Stadium
2000,LVR,24,33,DEN,LVR,-3,44,Oakland Coliseum
2000,SEA,20,10,NO,SEA,-6,40,Husky Stadium
2000,LAR,41,24,SF,LAR,-17,55.5,Edward Jones Dome
2000,WAS,21,27,DAL,WAS,-10.5,44,FedEx Field
2000,ARI,3,29,GB,ARI,-1,42,University of Phoenix Stadium
2000,ATL,20,41,LAR,LAR,-6.5,55,Georgia Dome
2000,BAL,37,0,CIN,BAL,-11.5,38,M&T Bank Stadium
2000,CHI,14,21,DET,CHI,-1,37.5,Soldier Field
2000,DAL,24,41,SF,DAL,-6.5,47,Texas Stadium
2000,DEN,22,23,KC,DEN,-7,43,Sports Authority Field at Mile High
2000,MIA,10,3,NE,MIA,-4.5,34.5,Hard Rock Stadium
2000,NO,7,21,PHI,NO,-1.5,38,Mercedes-Benz Superdome
2000,NYG,6,16,WAS,NYG,-1,42,Giants Stadium
2000,LVR,36,10,CLE,LVR,-10.5,40.5,Oakland Coliseum
2000,PIT,20,23,TEN,TEN,-7,36,Three Rivers Stadium
2000,LAC,12,20,SEA,SEA,-2.5,36,Qualcomm Stadium
2000,TB,17,21,NYJ,TB,-7,36,Raymond James Stadium
2000,IND,43,14,JAX,IND,-3.5,45,RCA Dome
2000,BUF,16,18,IND,BUF,-1.5,44,New Era Field
2000,CAR,13,16,DAL,CAR,-6.5,47.5,Bank of America Stadium
2000,CIN,16,31,MIA,MIA,-7,33,Paul Brown Stadium
2000,CLE,0,12,BAL,BAL,-8.5,37,FirstEnergy Stadium
2000,DEN,19,28,NE,DEN,-8.5,41,Sports Authority Field at Mile High
2000,DET,24,31,MIN,DET,-1,42.5,Pontiac Silverdome
2000,GB,24,27,CHI,GB,-5.5,41,Lambeau Field
2000,JAX,13,24,PIT,JAX,-11,38.5,TIAA Bank Field
2000,PHI,38,10,ATL,PHI,-3,41.5,Veterans Stadium
2000,SF,27,20,ARI,SF,-3.5,47.5,Candlestick Park
2000,LAR,57,31,LAC,LAR,-17,53.5,Edward Jones Dome
2000,TEN,28,14,NYG,TEN,-5,38,Nissan Stadium
2000,WAS,20,17,TB,WAS,-1.5,36,FedEx Field
2000,KC,24,17,SEA,KC,-4,38.5,Arrowhead Stadium
2000,ARI,29,21,CLE,ARI,-4.5,40.5,University of Phoenix Stadium
2000,ATL,6,13,NYG,ATL,-1,42,Georgia Dome
2000,CAR,26,3,SEA,CAR,-3.5,43,Bank of America Stadium
2000,CHI,10,31,NO,CHI,-5.5,40,Soldier Field
2000,CIN,14,23,TEN,TEN,-10,38,Paul Brown Stadium
2000,DET,31,24,GB,DET,-3,43,Pontiac Silverdome
2000,JAX,10,15,BAL,JAX,-2.5,37.5,TIAA Bank Field
2000,MIA,22,13,BUF,MIA,-2,34.5,Hard Rock Stadium
2000,NE,24,16,IND,IND,-3.5,43.5,Foxboro Stadium
2000,NYJ,3,20,PIT,NYJ,-8,37.5,Giants Stadium
2000,PHI,14,17,WAS,WAS,-3.5,37.5,Veterans Stadium
2000,LAC,7,21,DEN,DEN,-6.5,43,Qualcomm Stadium
2000,SF,28,34,LVR,LVR,-4.5,48.5,Candlestick Park
2000,MIN,30,23,TB,MIN,-1,39,Mall of America Field
2000,ARI,14,33,PHI,PHI,-2.5,39,University of Phoenix Stadium
2000,BUF,27,24,LAC,BUF,-10,36.5,New Era Field
2000,CHI,16,28,MIN,MIN,-6,44,Soldier Field
2000,DEN,44,10,CLE,DEN,-12.5,44,Sports Authority Field at Mile High
2000,GB,31,28,SF,GB,-4.5,49.5,Lambeau Field
2000,KC,17,20,LVR,KC,-3,43.5,Arrowhead Stadium
2000,NE,17,34,NYJ,NE,-3,37,Foxboro Stadium
2000,NO,24,6,CAR,PICK,0,40.5,Mercedes-Benz Superdome
2000,NYG,19,14,DAL,NYG,-4,40.5,Giants Stadium
2000,PIT,15,0,CIN,PIT,-8.5,37,Three Rivers Stadium
2000,SEA,24,37,IND,IND,-5.5,44,Husky Stadium
2000,LAR,45,29,ATL,LAR,-18,58.5,Edward Jones Dome
2000,WAS,10,3,BAL,WAS,-3.5,34.5,FedEx Field
2000,TEN,27,13,JAX,TEN,-6,38,Nissan Stadium
2000,TB,14,28,DET,TB,-8,37.5,Raymond James Stadium
2000,ATL,19,21,NO,NO,-1.5,40,Georgia Dome
2000,BAL,6,14,TEN,BAL,-1,35,M&T Bank Stadium
2000,CAR,34,16,SF,CAR,-3,50,Bank of America Stadium
2000,CIN,31,21,DEN,DEN,-10,43,Paul Brown Stadium
2000,DAL,48,7,ARI,DAL,-7,41.5,Texas Stadium
2000,IND,30,23,NE,IND,-8.5,47,RCA Dome
2000,JAX,16,35,WAS,WAS,-4,36,TIAA Bank Field
2000,KC,54,34,LAR,LAR,-7,56,Arrowhead Stadium
2000,MIN,31,27,BUF,MIN,-6.5,44.5,Mall of America Field
2000,LVR,31,3,SEA,LVR,-7.5,44,Oakland Coliseum
2000,PHI,13,9,CHI,PHI,-6.5,41,Veterans Stadium
2000,PIT,22,0,CLE,PIT,-9,37.5,Three Rivers Stadium
2000,NYJ,40,37,MIA,NYJ,-3,35,Giants Stadium
2000,ARI,10,21,NO,NO,-6,41,University of Phoenix Stadium
2000,ATL,13,12,CAR,CAR,-3,45.5,Georgia Dome
2000,BAL,6,9,PIT,BAL,-4.5,33,M&T Bank Stadium
2000,BUF,23,20,NYJ,BUF,-3.5,41,New Era Field
2000,CLE,3,12,CIN,CIN,-3,35.5,FirstEnergy Stadium
2000,DAL,17,23,JAX,DAL,-4,44.5,Texas Stadium
2000,IND,30,18,DET,IND,-7,47,RCA Dome
2000,MIA,28,20,GB,MIA,-4.5,38.5,Hard Rock Stadium
2000,NYG,24,7,PHI,NYG,-3.5,37,Giants Stadium
2000,LAC,13,15,LVR,LVR,-6.5,42.5,Qualcomm Stadium
2000,SF,24,34,LAR,LAR,-7,63,Candlestick Park
2000,SEA,19,24,KC,KC,-4,43,Husky Stadium
2000,TB,41,13,MIN,TB,-3,41,Raymond James Stadium
2000,WAS,21,27,TEN,WAS,-4,37.5,FedEx Field
2000,ARI,16,15,WAS,WAS,-10,40,University of Phoenix Stadium
2000,ATL,14,27,TB,TB,-7,40,Georgia Dome
2000,CHI,27,24,IND,IND,-7,45,Soldier Field
